Population (people)	Disposed (tons)
16,700	12,376
71,860	45,551
34,700	30,716
42,300	23,004
61,400	37,434
16,650	14,232
22,000	12,264
104,900	101,313
100,300	86,369
2,100	1,320
8,000	3,174
7,600	1,794
19,500	14,931
172,800	136,337
8,709	8,709
73,000	40,518
62,000	62,603
7,400	6,361
313,000	261,958
43,200	41,127
107,090	75,807
29,200	20,052
271,750	237,166
1,363,100	1,196,486
6,500	5,586
9,400	5,893
58,940	36,790
1,900	1,092
24,000	15,063
60,600	52,484
24,400	15,610
7,200	4,526
22,600	17,997
1,600	359
82,460	68,901